,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
03 - Ordre et sécurité publics,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    03.1 - Services de police,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    03.2 - Services de protection civile,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    03.3 - Tribunaux,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    03.4 - Administration pénitentiaire,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    03.5 - R-D concernant l'ordre et la sécurité publics,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    03.6 - Ordre et sécurité publics n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
04 - Affaires économiques,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
"    04.1 - Tutelle de l'économie générale, des échanges et de l'emploi","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"    04.2 - Agriculture, sylviculture, pêche et chasse","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    04.3 - Combustibles et énergie,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"    04.4 - Industries extractives et manufacturières, construction","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    04.5 - Transports,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
    04.6 - Communications,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    04.7 - Autres branches d'activité,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    04.8 - R-D concernant les affaires économiques,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    04.9 - Affaires économiques n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
05 - Protection de l'environnement,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    05.1 - Gestion des déchets,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    05.2 - Gestion des eaux usées,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    05.3 - Lutte contre la pollution,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    05.4 - Préservation de la diversité biologique et protection de la nature,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    05.5 - R-D dans le domaine de la protection de l'environnement,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    05.6 - Protection de l'environnement n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
06 - Logements et équipements collectifs,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    06.1 - Logements,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    06.2 - Équipements collectifs,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    06.3 - Alimentation en eau,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    06.4 - Éclairage public,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    06.5 - R-D dans le domaine du logement et des équipements collectifs,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    06.6 - Logement et équipements collectifs n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
07 - Santé,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"    07.1 - Produits, appareils et matériels médicaux","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    07.2 - Services ambulatoires,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    07.3 - Services hospitaliers,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    07.4 - Services de santé publique,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    07.5 - R-D dans le domaine de la santé,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    07.6 - Santé n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"08 - Loisirs, culture et culte","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    08.1 - Services récréatifs et sportifs,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    08.2 - Services culturels,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"    08.3 - Services de radiodiffusion, de télévision et d'édition","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    08.4 - Culte et autres services communautaires,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"    08.5 - R-D dans le domaine des loisirs, de la culture et du culte","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"    08.6 - Loisirs, culture et culte n.c.a.","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
09 - Enseignement,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    09.1 - Enseignement préélémentaire et primaire,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    09.2 - Enseignement secondaire,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    09.3 - Enseignement postsecondaire non supérieur,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    09.4 - Enseignement supérieur,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    09.5 - Enseignement non défini par niveau,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    09.6 - Services annexes à l'enseignement,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    09.7 - R-D dans le domaine de l'enseignement,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    09.8 - Enseignement n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
10 - Protection sociale,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    10.1 - Maladie et invalidité,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    10.2 - Vieillesse,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    10.3 - Survivants,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    10.4 - Famille et enfants,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    10.5 - Chômage,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    10.6 - Logement,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    10.7 - Exclusion sociale n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    10.8 - R-D dans le domaine de la protection sociale,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    10.9 - Protection sociale n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
 ,,,,,,,,,,,,,,,,,,,,
Prestations sociales (D62+D632),"270,1","280,0","290,1","298,1","307,5","317,5","333,1","351,6","369,2","386,9","403,6","423,5","443,1","459,0","483,5","498,6","512,8","530,0","544,9","557,8"
01 - Services généraux des administrations publiques,"1,0","1,0","1,1","1,1","1,3","1,3","1,4","1,3","1,3","1,7","1,8","1,8","1,2","0,5","0,6","0,7","0,5","0,6","0,6","0,6"
"    01.1 - Fonctionnement des organes exécutifs et législatifs, affaires financières et fiscales, affaires étrangères","0,7","0,7","0,8","0,8","1,0","1,0","1,0","0,9","1,0","1,2","1,3","1,3","0,9","0,4","0,4","0,4","0,4","0,4","0,4","0,4"
    01.2 - Aide économique extérieure,"0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,4","0,2","0,1","0,1","0,1","0,0","0,0","0,0","0,0"
    01.3 - Services généraux,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,0","0,1","0,2","0,1","0,1","0,1","0,1"
    01.4 - Recherche fondamentale,"0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    01.5 - R & D concernant les services généraux des administrations publiques,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    01.6 - Services généraux des administrations publiques n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    01.7 - Opérations concernant la dette publique,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    01.8 - Transferts de caractère général entre administrations publiques,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
02 - Défense,"0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,4","0,4","0,5"
    02.1 - Défense militaire,"0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,4","0,3","0,4","0,4","0,4","0,5","0,5","0,4","0,4","0,4"
    02.2 - Défense civile,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    02.3 - Aide militaire à des pays étrangers,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    02.4 - R-D concernant la défense,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    02.5 - Défense n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
03 - Ordre et sécurité publics,"0,3","0,3","0,4","0,5","0,6","0,4","0,4","0,4","0,4","0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,4","0,4","0,4"
    03.1 - Services de police,"0,2","0,2","0,2","0,2","0,3","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
    03.2 - Services de protection civile,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,0","0,0","0,0","0,0","0,0"
    03.3 - Tribunaux,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    03.4 - Administration pénitentiaire,"0,1","0,1","0,1","0,1","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
    03.5 - R-D concernant l'ordre et la sécurité publics,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    03.6 - Ordre et sécurité publics n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
04 - Affaires économiques,"2,6","2,4","2,1","2,2","2,1","2,7","2,8","2,9","1,8","1,5","1,6","1,7","1,6","1,8","2,4","2,2","1,6","1,6","1,6","1,7"
"    04.1 - Tutelle de l'économie générale, des échanges et de l'emploi","2,4","2,3","2,0","2,0","1,9","2,4","2,5","2,7","1,6","1,3","1,5","1,6","1,5","1,6","2,2","2,0","1,4","1,4","1,5","1,5"
"    04.2 - Agriculture, sylviculture, pêche et chasse","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    04.3 - Combustibles et énergie,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"    04.4 - Industries extractives et manufacturières, construction","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    04.5 - Transports,"0,1","0,1","0,0","0,0","0,1","0,2","0,2","0,1","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
    04.6 - Communications,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    04.7 - Autres branches d'activité,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    04.8 - R-D concernant les affaires économiques,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    04.9 - Affaires économiques n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
05 - Protection de l'environnement,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
    05.1 - Gestion des déchets,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    05.2 - Gestion des eaux usées,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,0","0,0","0,0","0,0","0,0","0,0"
    05.3 - Lutte contre la pollution,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    05.4 - Préservation de la diversité biologique et protection de la nature,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    05.5 - R-D dans le domaine de la protection de l'environnement,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    05.6 - Protection de l'environnement n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
06 - Logements et équipements collectifs,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,0","0,1"
    06.1 - Logements,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    06.2 - Équipements collectifs,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    06.3 - Alimentation en eau,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    06.4 - Éclairage public,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    06.5 - R-D dans le domaine du logement et des équipements collectifs,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    06.6 - Logement et équipements collectifs n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
07 - Santé,"42,9","45,0","45,6","47,3","48,3","52,3","55,1","59,0","63,3","67,2","69,7","73,0","76,6","78,8","81,4","84,0","86,0","87,7","90,8","93,2"
"    07.1 - Produits, appareils et matériels médicaux","11,5","12,4","12,7","13,8","14,9","16,6","18,2","19,3","20,5","21,7","22,5","22,7","24,1","24,5","29,0","29,7","29,9","29,3","30,8","31,6"
    07.2 - Services ambulatoires,"31,4","32,6","32,8","33,4","33,4","35,6","36,9","39,6","42,7","45,4","47,1","50,2","52,4","54,2","52,2","54,3","56,1","58,3","59,9","61,5"
    07.3 - Services hospitaliers,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    07.4 - Services de santé publique,"0,0","0,0","0,0","0,0","0,0","0,1","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
    07.5 - R-D dans le domaine de la santé,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    07.6 - Santé n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"08 - Loisirs, culture et culte","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,1","0,2","0,1","0,1","0,1","0,2","0,1","0,1","0,1"
    08.1 - Services récréatifs et sportifs,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    08.2 - Services culturels,"0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
"    08.3 - Services de radiodiffusion, de télévision et d'édition","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    08.4 - Culte et autres services communautaires,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"    08.5 - R-D dans le domaine des loisirs, de la culture et du culte","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"    08.6 - Loisirs, culture et culte n.c.a.","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
09 - Enseignement,"2,7","2,8","3,0","3,1","3,2","3,7","3,9","4,1","4,2","4,8","5,0","5,5","5,5","5,6","5,6","5,7","5,7","5,9","6,5","6,7"
    09.1 - Enseignement préélémentaire et primaire,"0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3"
    09.2 - Enseignement secondaire,"0,6","0,6","0,6","0,6","0,6","0,7","0,8","0,8","0,9","1,0","1,0","1,1","1,0","1,0","1,1","1,0","1,1","1,1","1,7","1,7"
    09.3 - Enseignement postsecondaire non supérieur,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    09.4 - Enseignement supérieur,"0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,2","0,2","0,2","0,2"
    09.5 - Enseignement non défini par niveau,"0,4","0,5","0,5","0,5","0,6","0,8","0,8","0,8","0,7","0,7","0,9","1,0","1,1","1,1","1,1","1,1","0,9","0,9","1,0","1,0"
    09.6 - Services annexes à l'enseignement,"1,4","1,5","1,6","1,6","1,7","1,9","2,0","2,0","2,2","2,5","2,5","2,7","2,7","2,8","2,9","3,1","3,2","3,3","3,3","3,4"
    09.7 - R-D dans le domaine de l'enseignement,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
    09.8 - Enseignement n.c.a.,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
10 - Protection sociale,"220,2","228,0","237,6","243,6","251,5","256,7","269,1","283,6","297,7","310,9","324,6","340,7","357,2","371,4","392,4","404,8","417,8","433,1","444,3","454,5"
    10.1 - Maladie et invalidité,"20,3","21,4","21,5","21,8","22,8","21,3","22,0","23,2","24,4","27,2","28,3","29,9","30,9","31,4","32,5","33,8","34,8","36,2","37,7","38,6"
    10.2 - Vieillesse,"117,8","120,7","127,0","131,1","135,3","140,0","146,6","153,6","160,8","174,1","184,7","197,3","208,5","220,6","231,6","239,4","250,1","258,3","266,4","272,2"
    10.3 - Survivants,"19,9","20,5","20,6","21,0","21,2","21,5","22,1","22,9","23,5","24,4","25,8","26,5","27,5","28,3","29,2","30,8","31,2","33,0","33,2","34,0"
    10.4 - Famille et enfants,"23,9","24,6","25,8","25,4","26,1","26,9","27,6","28,3","28,6","30,0","31,3","32,7","34,9","35,5","35,8","35,5","36,1","37,2","37,5","38,4"
